"Lens Name","Brand","Mount","Launch Year","Launch Price (USD)","Source URL"
"Sony E 70-350mm f/4.5-6.3 G OSS","Sony","E","2020","1000","https://www.sony.com/electronics/camera-lenses"
"Zeiss Batis 18mm f/2.8","Zeiss","E","2016","1500","https://www.zeiss.com/camera-lenses"
"Zeiss Batis 25mm f/2","Zeiss","E","2015","1300","https://www.zeiss.com/camera-lenses"
"Zeiss Batis 40mm f/2","Zeiss","E","2018","1300","https://www.zeiss.com/camera-lenses"
"Zeiss Batis 85mm f/1.8","Zeiss","E","2015","1200","https://www.zeiss.com/camera-lenses"
"Zeiss Batis 135mm f/2.8","Zeiss","E","2017","2000","https://www.zeiss.com/camera-lenses"
"Zeiss Touit 12mm f/2.8","Zeiss","E","2012","1000","https://www.zeiss.com/camera-lenses"
"Zeiss Touit 32mm f/1.8","Zeiss","E","2012","900","https://www.zeiss.com/camera-lenses"
"Zeiss Touit 50mm f/2.8 Macro","Zeiss","E","2012","1000","https://www.zeiss.com/camera-lenses"
"Sigma 14mm f/1.4 DG DN Art","Sigma","E","2023","1600","https://www.sigma-global.com"
"Sigma 14mm f/1.8 DG HSM Art","Sigma","E","2017","1600","https://www.sigma-global.com"
"Sigma 15mm f/1.4 DG DN Diagonal Fisheye Art","Sigma","E","2024","2200","https://www.sigma-global.com"
"Sigma 20mm f/1.4 DG HSM Art","Sigma","E","2018","900","https://www.sigma-global.com"
"Sigma 20mm f/1.4 DG DN Art","Sigma","E","2022","900","https://www.sigma-global.com"
"Sigma 24mm f/1.4 DG HSM Art","Sigma","E","2018","850","https://www.sigma-global.com"
"Sigma 24mm f/1.4 DG DN Art","Sigma","E","2022","800","https://www.sigma-global.com"
"Sigma 28mm f/1.4 DG HSM Art","Sigma","E","2018","800","https://www.sigma-global.com"
"Sigma 35mm f/1.2 DG DN Art","Sigma","E","2019","1500","https://www.sigma-global.com"
"Sigma 35mm f/1.4 DG HSM Art","Sigma","E","2018","900","https://www.sigma-global.com"
"Sigma 35mm f/1.4 DG DN Art","Sigma","E","2021","900","https://www.sigma-global.com"
"Sigma 35mm f/1.4 DG II Art","Sigma","E","2025","1000","https://www.sigma-global.com"
"Sigma 40mm f/1.4 DG HSM Art","Sigma","E","2018","1400","https://www.sigma-global.com"
"Sigma 50mm f/1.4 DG HSM Art","Sigma","E","2018","950","https://www.sigma-global.com"
"Sigma 50mm f/1.4 DG DN Art","Sigma","E","2023","850","https://www.sigma-global.com"
"Sigma 50mm f/1.2 DG DN Art","Sigma","E","2024","1400","https://www.sigma-global.com"
"Sigma 85mm f/1.4 DG HSM Art","Sigma","E","2018","1200","https://www.sigma-global.com"
"Sigma 85mm f/1.4 DG DN Art","Sigma","E","2020","1200","https://www.sigma-global.com"
"Sigma 105mm f/1.4 DG HSM Art","Sigma","E","2018","1600","https://www.sigma-global.com"
"Sigma 105mm f/2.8 DG DN Macro Art","Sigma","E","2020","800","https://www.sigma-global.com"
"Sigma 135mm f/1.8 DG HSM Art","Sigma","E","2017","1400","https://www.sigma-global.com"
"Sigma 135mm f/1.4 DG Art","Sigma","E","2025","2000","https://www.sigma-global.com"
"Sigma 70mm f/2.8 DG Macro Art","Sigma","E","2018","570","https://www.sigma-global.com"
"Sigma 200mm f/2 DG OS Sports","Sigma","E","2025","3500","https://www.sigma-global.com"
"Sigma 500mm f/5.6 DG DN OS Sports","Sigma","E","2024","3000","https://www.sigma-global.com"
"Sigma 14-24mm f/2.8 DG DN Art","Sigma","E","2019","1400","https://www.sigma-global.com"
"Sigma 16-28mm f/2.8 DG DN Contemporary","Sigma","E","2022","900","https://www.sigma-global.com"
"Sigma 24-70mm f/2.8 DG DN Art","Sigma","E","2019","1100","https://www.sigma-global.com"
"Sigma 24-70mm f/2.8 DG DN II Art","Sigma","E","2024","1200","https://www.sigma-global.com"
"Sigma 28-70mm f/2.8 DG DN Contemporary","Sigma","E","2021","900","https://www.sigma-global.com"
"Sigma 28-45mm f/1.8 DG DN Art","Sigma","E","2024","1350","https://www.sigma-global.com"
"Sigma 28-105mm f/2.8 DG DN Art","Sigma","E","2024","1500","https://www.sigma-global.com"
"Sigma 60-600mm f/4.5-6.3 DG DN OS Sports","Sigma","E","2023","2000","https://www.sigma-global.com"
"Sigma 100-400mm f/5-6.3 DG DN OS Contemporary","Sigma","E","2020","1000","https://www.sigma-global.com"
"Sigma 150-600mm f/5-6.3 DG DN OS Sports","Sigma","E","2021","1500","https://www.sigma-global.com"
"Sigma 300-600mm f/4 DG OS Sports","Sigma","E","2025","6000","https://www.sigma-global.com"
"Sigma 70-200mm f/2.8 DG DN OS Sports","Sigma","E","2023","1500","https://www.sigma-global.com"
"Sigma 20-200mm f/3.5-6.3 DG Contemporary","Sigma","E","2025","700","https://www.sigma-global.com"
"Sigma 17-40mm f/1.8 DC DN Contemporary","Sigma","E","2025","1000","https://www.sigma-global.com"
"Sigma 16-300mm f/3.5-6.3 DC DN Contemporary","Sigma","E","2025","800","https://www.sigma-global.com"
"Tamron 20mm f/2.8 Di III OSD","Tamron","E","2019","350","https://www.tamron.com"
"Tamron 24mm f/2.8 Di III OSD","Tamron","E","2019","350","https://www.tamron.com"
"Tamron 35mm f/2.8 Di III OSD","Tamron","E","2019","350","https://www.tamron.com"
"Tamron 90mm f/2.8 Di III MACRO VXD","Tamron","E","2024","700","https://www.tamron.com"
"Tamron 17-28mm f/2.8 Di III RXD","Tamron","E","2019","900","https://www.tamron.com"
"Tamron 28-75mm f/2.8 Di III RXD","Tamron","E","2018","800","https://www.tamron.com"
"Tamron 28-75mm f/2.8 Di III VXD G2","Tamron","E","2021","900","https://www.tamron.com"
"Tamron 28-200mm f/2.8-5.6 Di III RXD","Tamron","E","2020","730","https://www.tamron.com"
"Tamron 28-300mm f/4-7.1 Di III VC VXD","Tamron","E","2024","900","https://www.tamron.com"
"Tamron 35-150mm f/2-2.8 Di III VXD","Tamron","E","2021","1900","https://www.tamron.com"
"Tamron 70-180mm f/2.8 Di III VXD","Tamron","E","2020","1200","https://www.tamron.com"
"Tamron 70-180mm f/2.8 Di III VC VXD G2","Tamron","E","2023","1300","https://www.tamron.com"
"Tamron 70-300mm f/4.5-6.3 Di III RXD","Tamron","E","2020","550","https://www.tamron.com"
"Tamron 150-500mm f/5-6.7 Di III VC VXD","Tamron","E","2021","1400","https://www.tamron.com"
"Tamron 50-400mm f/4.5-6.3 Di III VC VXD","Tamron","E","2022","1300","https://www.tamron.com"
"Tamron 50-300mm f/4.5-6.3 Di III VC VXD","Tamron","E","2024","800","https://www.tamron.com"
"Tamron 20-40mm f/2.8 Di III VXD","Tamron","E","2022","700","https://www.tamron.com"
"Tamron 17-50mm f/4 Di III VXD","Tamron","E","2023","500","https://www.tamron.com"
"Tamron 11-20mm f/2.8 Di III-A RXD","Tamron","E","2021","800","https://www.tamron.com"
"Tamron 17-70mm f/2.8 Di III-A VC RXD","Tamron","E","2020","800","https://www.tamron.com"
"Tamron 18-300mm f/3.5-6.3 Di III-A VC VXD","Tamron","E","2021","700","https://www.tamron.com"
"Tamron 35-100mm f/2.8 Di III VXD","Tamron","E","2026","900","https://www.tamron.com"
"Tamron 25-200mm f/2.8-5.6 G2","Tamron","E","2025","700","https://www.tamron.com"
"Tamron 16-30mm f/2.8 Di III VXD G2","Tamron","E","2025","800","https://www.tamron.com"
"Samyang AF 14mm f/2.8 FE","Samyang","E","2016","900","https://www.samyanglens.com"
"Samyang AF 18mm f/2.8 FE","Samyang","E","2019","400","https://www.samyanglens.com"
"Samyang AF 24mm f/1.8 FE","Samyang","E","2021","600","https://www.samyanglens.com"
"Samyang AF 24mm f/2.8 FE","Samyang","E","2018","300","https://www.samyanglens.com"
"Samyang AF 35mm f/1.4 FE","Samyang","E","2017","800","https://www.samyanglens.com"
"Samyang AF 35mm f/1.4 FE II","Samyang","E","2022","800","https://www.samyanglens.com"
"Samyang AF 35mm f/1.8 FE","Samyang","E","2020","400","https://www.samyanglens.com"
"Samyang AF 35mm f/2.8 FE","Samyang","E","2017","350","https://www.samyanglens.com"
"Samyang AF 45mm f/1.8 FE","Samyang","E","2019","400","https://www.samyanglens.com"
"Samyang AF 50mm f/1.4 FE","Samyang","E","2016","800","https://www.samyanglens.com"
"Samyang AF 50mm f/1.4 FE II","Samyang","E","2021","600","https://www.samyanglens.com"
"Samyang AF 75mm f/1.8 FE","Samyang","E","2020","500","https://www.samyanglens.com"
"Samyang AF 85mm f/1.4 FE","Samyang","E","2019","800","https://www.samyanglens.com"
"Samyang AF 85mm f/1.4 FE II","Samyang","E","2022","700","https://www.samyanglens.com"
"Samyang AF 135mm f/1.8 FE","Samyang","E","2022","1400","https://www.samyanglens.com"
"Samyang AF 24-70mm f/2.8 FE","Samyang","E","2021","900","https://www.samyanglens.com"
"Samyang AF 35-150mm f/2-2.8 FE","Samyang","E","2023","1400","https://www.samyanglens.com"
"Samyang AF 14-24mm f/2.8 FE","Samyang","E","2025","1300","https://www.samyanglens.com"
"Samyang AF 16mm f/2.8 P FE","Samyang","E","2025","350","https://www.samyanglens.com"
"Samyang AF 12mm f/2 E","Samyang/Rokinon","E","2021","400","https://www.samyanglens.com"
"Viltrox AF 13mm f/1.4 E","Viltrox","E","2022","450","https://www.viltrox.com"
"Viltrox AF 23mm f/1.4 E","Viltrox","E","2019","330","https://www.viltrox.com"
"Viltrox AF 33mm f/1.4 E","Viltrox","E","2019","330","https://www.viltrox.com"
"Viltrox AF 56mm f/1.4 E","Viltrox","E","2019","330","https://www.viltrox.com"
"Viltrox AF 75mm f/1.2 Pro E","Viltrox","E","2023","550","https://www.viltrox.com"
"Viltrox AF 27mm f/1.2 Pro E","Viltrox","E","2024","450","https://www.viltrox.com"
"Viltrox AF 56mm f/1.2 Pro E","Viltrox","E","2025","450","https://www.viltrox.com"
"Viltrox AF 85mm f/1.8 II E","Viltrox","E","2021","400","https://www.viltrox.com"
"Viltrox AF 85mm f/1.8 STM E","Viltrox","E","2019","400","https://www.viltrox.com"
"Viltrox AF 24mm f/1.8 FE","Viltrox","E","2020","400","https://www.viltrox.com"
"Viltrox AF 35mm f/1.8 FE","Viltrox","E","2021","400","https://www.viltrox.com"
"Viltrox AF 50mm f/1.8 FE","Viltrox","E","2021","400","https://www.viltrox.com"
"Viltrox AF 85mm f/1.8 II FE","Viltrox","E","2021","400","https://www.viltrox.com"
"Viltrox AF 16mm f/1.8 FE","Viltrox","E","2023","550","https://www.viltrox.com"
"Viltrox AF 20mm f/2.8 FE","Viltrox","E","2023","350","https://www.viltrox.com"
"Viltrox AF 28mm f/1.8 FE","Viltrox","E","2023","400","https://www.viltrox.com"
"Viltrox AF 35mm f/1.2 LAB","Viltrox","E","2025","900","https://www.viltrox.com"
"Viltrox AF 50mm f/1.4 Pro","Viltrox","E","2025","600","https://www.viltrox.com"
"Viltrox AF 85mm f/1.4 Pro","Viltrox","E","2025","800","https://www.viltrox.com"
"Viltrox AF 135mm f/1.8 LAB","Viltrox","E","2024","1400","https://www.viltrox.com"
"Viltrox AF 9mm f/2.8 Air","Viltrox","E","2025","300","https://www.viltrox.com"
"Viltrox AF 15mm f/1.7 Air","Viltrox","E","2025","280","https://www.viltrox.com"
"Viltrox AF 25mm f/1.7 Air","Viltrox","E","2025","250","https://www.viltrox.com"
"Viltrox AF 35mm f/1.7 Air","Viltrox","E","2024","280","https://www.viltrox.com"
"Viltrox AF 56mm f/1.7 Air","Viltrox","E","2024","280","https://www.viltrox.com"
"Viltrox AF 85mm f/2.0 EVO","Viltrox","E","2025","300","https://www.viltrox.com"
"Viltrox AF 14mm f/4.0 Air","Viltrox","E","2025","280","https://www.viltrox.com"
"Viltrox AF 40mm f/2.5","Viltrox","E","2024","300","https://www.viltrox.com"
"Viltrox AF 28mm f/4.5 FE","Viltrox","E","2024","200","https://www.viltrox.com"
"Viltrox AF 50mm f/2.0 Air","Viltrox","E","2025","250","https://www.viltrox.com"
"Tokina atx-m 23mm f/1.4 E","Tokina","E","2021","500","https://www.tokinalens.com"
"Tokina atx-m 33mm f/1.4 E","Tokina","E","2021","500","https://www.tokinalens.com"
"Tokina atx-m 56mm f/1.4 E","Tokina","E","2021","500","https://www.tokinalens.com"
"Tokina FíRIN 20mm f/2 FE AF","Tokina","E","2018","500","https://www.tokinalens.com"
"Tokina atx-m 85mm f/1.8 FE","Tokina","E","2020","600","https://www.tokinalens.com"
"Tokina FíRIN 100mm f/2.8 FE MACRO","Tokina","E","2019","600","https://www.tokinalens.com"
"Tokina atx-m 11-18mm f/2.8 E","Tokina","E","2022","700","https://www.tokinalens.com"
"Yongnuo YN35mm f/2S DF DSM","Yongnuo","E","2020","280","https://www.yongnuo.com"
"Yongnuo YN50mm f/1.8S DF DSM","Yongnuo","E","2021","200","https://www.yongnuo.com"
"Yongnuo YN85mm f/1.8S DF DSM","Yongnuo","E","2020","300","https://www.yongnuo.com"
"Yongnuo 85mm f/1.8S DF DSM","Yongnuo","E","2022","300","https://www.yongnuo.com"
"Yongnuo YN11mm f/1.8S DA DSM WL","Yongnuo","E","2024","350","https://www.yongnuo.com"
"Yongnuo YN16mm f/1.8S DA DSM","Yongnuo","E","2023","300","https://www.yongnuo.com"
"Yongnuo YN50mm f/1.8S DA DSM","Yongnuo","E","2021","150","https://www.yongnuo.com"
"Sirui 16mm f/1.2","Sirui","E","2024","400","https://www.sirui.com"
"Sirui 23mm f/1.2","Sirui","E","2023","350","https://www.sirui.com"
"Sirui 33mm f/1.2","Sirui","E","2023","350","https://www.sirui.com"
"Sirui 56mm f/1.2","Sirui","E","2023","400","https://www.sirui.com"
"Sirui 75mm f/1.2","Sirui","E","2024","450","https://www.sirui.com"
"Sirui Aurora 85mm f/1.4","Sirui","E","2024","600","https://www.sirui.com"
"Sirui 20mm T1.8 1.33x Anamorphic","Sirui","E","2025","700","https://www.sirui.com"
"Sirui 40mm T1.8 1.33x Anamorphic","Sirui","E","2024","700","https://www.sirui.com"
"Sirui Astra 50mm T1.8 1.33x Anamorphic","Sirui","E","2025","800","https://www.sirui.com"
"Sirui Astra 75mm T1.8 1.33x Anamorphic","Sirui","E","2025","800","https://www.sirui.com"
"Sirui Astra 100mm T1.8 1.33x Anamorphic","Sirui","E","2025","800","https://www.sirui.com"
"LAOWA 10mm f/2.8 Zero-D FF","LAOWA","E","2024","700","https://www.laowa.com"
"LAOWA 12mm f/2.8 Lite Zero-D FF","LAOWA","E","2025","600","https://www.laowa.com"
"LAOWA 180mm f/4.5 1.5X Ultra Macro APO","LAOWA","E","2025","500","https://www.laowa.com"
"LAOWA 200mm f/2 AF FF","LAOWA","E","2025","1500","https://www.laowa.com"
"Meike 85mm f/1.4 AF","Meike","E","2023","550","https://www.meike.com"
"Meike 85mm f/1.8 Pro FF AF STM","Meike","E","2024","350","https://www.meike.com"
"Meike 85mm f/1.8 SE Mark II","Meike","E","2025","300","https://www.meike.com"
"Meike 85mm f/1.8 FF STM","Meike","E","2022","280","https://www.meike.com"
"TTArtisan AF 27mm f/2.8","TTArtisan","E","2023","150","https://www.ttartisan.com"
"TTArtisan AF 35mm f/1.8","TTArtisan","E","2023","250","https://www.ttartisan.com"
"TTArtisan AF 56mm f/1.8","TTArtisan","E","2023","280","https://www.ttartisan.com"
"TTArtisan AF 75mm f/2","TTArtisan","E","2024","350","https://www.ttartisan.com"
"TTArtisan AF 40mm f/2","TTArtisan","E","2025","200","https://www.ttartisan.com"
"TTArtisan AF 17mm f/1.8 Air","TTArtisan","E","2026","180","https://www.ttartisan.com"
"7Artisans AF 50mm f/1.8","7Artisans","E","2023","250","https://www.7artisans.com"
"AstrHori 85mm f/1.8 AF","AstrHori","E","2022","300","https://www.astrhori.com"
"SongRaw AF 50mm f/1.2","SongRaw","E","2025","700","https://www.songraw.com"
"Sony FE 28-70mm f/2 GM","Sony","E","2025","3000","https://www.sony.com/electronics/camera-lenses"
"Sony FE 50-150mm f/2 GM","Sony","E","2025","3800","https://www.sony.com/electronics/camera-lenses"
"Sony FE 100mm f/2.8 Macro GM","Sony","E","2025","1500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 28-70mm f/3.5-5.6 OSS","Sony","E","2013","500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 4mm f/1.8 GM","Sony","E","2022","600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 16mm f/1.8 G","Sony","E","2027","900","https://www.sony.com/electronics/camera-lenses"
"Sigma 17mm f/4 DG DN Contemporary","Sigma","E","2023","600","https://www.sigma-global.com"
"Sigma 16mm f/1.4 DC DN Contemporary","Sigma","E","2018","450","https://www.sigma-global.com"
"Sigma 12mm f/1.4 DC Contemporary","Sigma","E","2025","500","https://www.sigma-global.com"
"Sigma 15mm f/1.4 DC DN Contemporary","Sigma","E","2026","550","https://www.sigma-global.com"
"Sigma 10-18mm f/2.8 DC DN Contemporary","Sigma","E","2023","600","https://www.sigma-global.com"
"Sigma 18-50mm f/2.8 DC DN Contemporary","Sigma","E","2021","550","https://www.sigma-global.com"
"Sigma 30mm f/1.4 DC DN Contemporary","Sigma","E","2016","350","https://www.sigma-global.com"
"Sigma 56mm f/1.4 DC DN Contemporary","Sigma","E","2018","480","https://www.sigma-global.com"
"Sigma 23mm f/1.4 DC DN Contemporary","Sigma","E","2023","550","https://www.sigma-global.com"
"Sony FE 35mm f/1.2 DG II Art","Sigma","E","2025","1600","https://www.sigma-global.com"
"Sony FE 70-200mm f/4 G","Sony","E","2013","1500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-200mm f/4 G II","Sony","E","2024","1700","https://www.sony.com/electronics/camera-lenses"
"Sony FE 16-35mm f/4 G PZ","Sony","E","2022","1200","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-200mm f/2.8 GM OSS","Sony","E","2016","2600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-200mm f/2.8 GM OSS II","Sony","E","2022","2800","https://www.sony.com/electronics/camera-lenses"
"Sony E 18-200mm LE","Sony","E","2012","900","https://www.sony.com/electronics/camera-lenses"
"Sony E 12-24mm f/4","Sony","E","2012","1100","https://www.sony.com/electronics/camera-lenses"
"Sony FE 28-135mm f/4 G OSS","Sony","E","2014","2500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 16-35mm T3.1 G","Sony","E","2020","4500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-105mm f/2.8 GM","Sony","E","2023","3000","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-240mm f/3.5-6.3 OSS","Sony","E","2015","1000","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-105mm f/4 G OSS","Sony","E","2017","1300","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-70mm f/4 ZA OSS","Sony","E","2014","1200","https://www.sony.com/electronics/camera-lenses"
"Sony FE 28-300mm f/3.5-6.3","Sony","E","2014","1200","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-300mm f/4.5-5.6 G OSS","Sony","E","2016","1200","https://www.sony.com/electronics/camera-lenses"
"Sony FE 100mm f/2.8 STF GM OSS","Sony","E","2017","1500","https://www.sony.com/electronics/camera-lenses"
"Sony E 18-200mm","Sony","E","2011","900","https://www.sony.com/electronics/camera-lenses"
"Sony E 55-210mm","Sony","E","2011","350","https://www.sony.com/electronics/camera-lenses"
"Sony E 16-50mm","Sony","E","2012","300","https://www.sony.com/electronics/camera-lenses"
"Sony FE 28mm f/2","Sony","E","2015","450","https://www.sony.com/electronics/camera-lenses"
"Sony FE 35mm f/1.4 ZA","Sony","E","2015","1600","https://www.sony.com/electronics/camera-lenses"
"Sony FE 50mm f/1.4 ZA","Sony","E","2016","1500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 55mm f/1.8 ZA","Sony","E","2013","1000","https://www.sony.com/electronics/camera-lenses"
"Sony FE 85mm f/1.4 GM","Sony","E","2016","1800","https://www.sony.com/electronics/camera-lenses"
"Sony FE 90mm f/2.8 Macro G OSS","Sony","E","2015","1100","https://www.sony.com/electronics/camera-lenses"
"Sony FE 100-400mm f/4.5-5.6 GM OSS","Sony","E","2017","2500","https://www.sony.com/electronics/camera-lenses"
"Sony FE 70-200mm f/2.8 GM OSS II","Sony","E","2022","2800","https://www.sony.com/electronics/camera-lenses"
"Sony FE 24-70mm f/2.8 GM II","Sony","E","2022","2300","https://www.sony.com/electronics/camera-lenses"
"Sony FE 16-35mm f/2.8 GM II","Sony","E","2023","2300","https://www.sony.com/electronics/camera-lenses"
"Sony FE 300mm f/2.8 GM OSS","Sony","E","2024","6000","https://www.sony.com/electronics/camera-lenses"
