System,Brand,Range,Type,Mount,Lens,FL (mm),Max FL (mm),Max. Aper.,Filter (mm),MFD (cm),Diam. (mm),Diam. (in.),Length (mm),Length (in.),Weight (g),Weight (oz),IS,WR,Elements,Blades,Price (new),Notes
Sony,Sony,Full-Frame,Prime,E,Sony FE 50mm F2.8 Macro,50,50,f/2.8,55,16,70.8,2.79,71,2.80,236,8.33,No,No,,,498,Released 2016; Macro lens
Sony,Sony,Full-Frame,Prime,E,Sony Zeiss Sonnar T* FE 55mm F1.8 ZA,55,55,f/1.8,49,50,64.4,2.54,71,2.80,281,9.91,No,No,,,998,Released 2013; Sonnar T* coating
Sony,Sony,Full-Frame,Prime,E,Sony FE 85mm F1.4 GM II,85,85,f/1.4,77,85,84.7,3.33,107.3,4.22,642,22.65,No,No,,,1798,Released 2024
Sony,Sony,Full-Frame,Prime,E,Sony FE 85mm F1.4 GM,85,85,f/1.4,77,85,89.5,3.52,107.5,4.23,848,29.91,No,No,,,1798,Released 2016
Sony,Sony,Full-Frame,Prime,E,Sony FE 85mm F1.8,85,85,f/1.8,67,80,78,3.07,82,3.23,371,13.09,No,No,,,598,Released 2017
Sony,Sony,Full-Frame,Prime,E,Sony FE 90mm F2.8 Macro G OSS,90,90,f/2.8,62,28,79,3.11,130.5,5.14,602,21.24,Yes,No,,,1098,Released 2015; Macro lens
Sony,Sony,Full-Frame,Prime,E,Sony FE 100mm F2.8 Macro GM OSS,100,100,f/2.8,67,26,81.4,3.20,147.9,5.82,646,22.79,Yes,No,,,1098,Released 2025; Macro lens
Sony,Sony,Full-Frame,Prime,E,Sony FE 100mm F2.8 STF GM OSS,100,100,f/2.8,72,57,85.2,3.35,118.1,4.65,700,24.69,Yes,No,,,1498,Released 2017; Smooth Trans Focus
Sony,Sony,Full-Frame,Prime,E,Sony FE 135mm F1.8 GM,135,135,f/1.8,82,70,89.5,3.52,127,5.00,953,33.62,No,No,,,1898,Released 2019
Sony,Sony,Full-Frame,Prime,E,Sony FE 300mm F2.8 GM OSS,300,300,f/2.8,40.5,200,124,4.88,265,10.43,1470,51.85,Yes,No,,,5998,Released 2023
Sony,Sony,Full-Frame,Prime,E,Sony FE 400mm F2.8 GM OSS,400,400,f/2.8,40.5,270,158.1,6.22,359,14.13,2895,102.12,Yes,No,,,11998,Released 2018
Sony,Sony,Full-Frame,Prime,E,Sony FE 600mm F4 GM OSS,600,600,f/4,40.5,450,163.6,6.44,449,17.68,3040,107.23,Yes,No,,,12998,Released 2019
Third-Party,Samyang/Rokinon,APS-C,Prime,E,Samyang AF 12mm F2 E,12,12,f/2,62,19,70,2.76,59.2,2.33,213,7.51,No,No,,,499,Released 2021
Third-Party,Sigma,APS-C,Prime,E,Sigma 12mm F1.4 DC | Contemporary,12,12,f/1.4,62,17.2,68,2.68,69.4,2.73,225,7.94,No,No,,,549,Released 2025
Third-Party,Sigma,APS-C,Prime,E,Sigma 15mm F1.4 DC DN | Contemporary,15,15,f/1.4,58,17.7,64,2.52,64.8,2.55,220,7.76,No,No,,,599,Released 2026
Third-Party,Sigma,APS-C,Prime,E,Sigma 16mm F1.4 DC DN | Contemporary,16,16,f/1.4,67,25,72.2,2.84,92.3,3.63,405,14.29,No,No,,,399,Released 2017
Third-Party,Sigma,APS-C,Prime,E,Sigma 19mm F2.8 EX DN,19,19,f/2.8,46,20,60.6,2.39,45.7,1.80,140,4.94,No,No,,,,Discontinued
Third-Party,Sigma,APS-C,Prime,E,Sigma 19mm F2.8 DN | Art,19,19,f/2.8,46,20,60.8,2.39,45.7,1.80,160,5.64,No,No,,,199,Released 2013
Third-Party,Sigma,APS-C,Prime,E,Sigma 23mm F1.4 DC DN | Contemporary,23,23,f/1.4,52,25,65.8,2.59,78.9,3.11,330,11.64,No,No,,,449,Released 2023
Third-Party,Sigma,APS-C,Prime,E,Sigma 30mm F2.8 EX DN,30,30,f/2.8,46,30,60.6,2.39,38.6,1.52,130,4.59,No,No,,,,Discontinued
Third-Party,Sigma,APS-C,Prime,E,Sigma 30mm F2.8 DN | Art,30,30,f/2.8,46,30,60.8,2.39,40.5,1.59,140,4.94,No,No,,,199,Released 2013
Third-Party,Sigma,APS-C,Prime,E,Sigma 30mm F1.4 DC DN | Contemporary,30,30,f/1.4,52,30,64.8,2.55,73.3,2.89,265,9.35,No,No,,,339,Released 2016
Third-Party,Sigma,APS-C,Prime,E,Sigma 56mm F1.4 DC DN | Contemporary,56,56,f/1.4,55,50,66.5,2.62,59.5,2.34,280,9.88,No,No,,,479,Released 2018
Third-Party,Sigma,APS-C,Prime,E,Sigma 60mm F2.8 DN | Art,60,60,f/2.8,46,50,60.8,2.39,55.5,2.19,190,6.70,No,No,,,239,Discontinued 2019
Third-Party,Sirui,APS-C,Prime,E,Sirui 16mm F1.2,16,16,f/1.2,58,30,,,94,3.70,384,13.55,No,No,,,429,Released 2024
Third-Party,Sirui,APS-C,Prime,E,Sirui 20mm T1.8 1.33x Anamorphic,20,20,T1.8,77,40,86.4,3.40,90.95,3.58,489,17.25,No,No,,,699,Released 2025; Anamorphic
Third-Party,Sirui,APS-C,Prime,E,Sirui 23mm F1.2,23,23,f/1.2,58,30,,,92.5,3.64,381,13.44,No,No,,,349,Released 2023
Third-Party,Sirui,APS-C,Prime,E,Sirui 33mm F1.2,33,33,f/1.2,58,40,,,92.5,3.64,400,14.11,No,No,,,349,Released 2023
Third-Party,Sirui,APS-C,Prime,E,Sirui 40mm T1.8 1.33x Anamorphic,40,40,T1.8,77,60,86.4,3.40,128.2,5.05,633,22.33,No,No,,,899,Released 2024; Anamorphic
Third-Party,Sirui,APS-C,Prime,E,Sirui 56mm F1.2,56,56,f/1.2,58,60,,,92.5,3.64,422,14.89,No,No,,,349,Released 2023
Third-Party,Sirui,APS-C,Prime,E,Sirui 75mm F1.2,75,75,f/1.2,67,70,,,94,3.70,466,16.43,No,No,,,439,Released 2024
Third-Party,Tokina,APS-C,Prime,E,Tokina atx-m 23mm F1.4 E,23,23,f/1.4,52,30,65,2.56,72,2.83,276,9.74,No,No,,,449,Released 2021
Third-Party,Tokina,APS-C,Prime,E,Tokina atx-m 33mm F1.4 E,33,33,f/1.4,52,40,65,2.56,72,2.83,285,10.05,No,No,,,449,Released 2021
Third-Party,Tokina,APS-C,Prime,E,Tokina atx-m 56mm F1.4 E,56,56,f/1.4,52,60,65,2.56,72,2.83,315,11.11,No,No,,,479,Released 2021
Third-Party,TTArtisan,APS-C,Prime,E,TTArtisan AF 17mm f1.8 Air,17,17,f/1.8,52,18,60,2.36,47,1.85,170,6.00,No,No,,,129,Released 2026
Third-Party,TTArtisan,APS-C,Prime,E,TTArtisan AF 27mm F2.8,27,27,f/2.8,39,35,61,2.40,29,1.14,88,3.10,No,No,,,149,Released 2023
Third-Party,TTArtisan,APS-C,Prime,E,TTArtisan AF 35mm F1.8,35,35,f/1.8,52,35,65,2.56,60,2.36,199,7.02,No,No,,,199,Released 2023
Third-Party,TTArtisan,APS-C,Prime,E,TTArtisan AF 56mm F1.8,56,56,f/1.8,52,50,65,2.56,62,2.44,233,8.22,No,No,,,199,Released 2023
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 9mm F2.8 Air,9,9,f/2.8,58,13,65,2.56,56.4,2.22,175,6.17,No,No,,,279,Released 2025
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 13mm F1.4,13,13,f/1.4,67,22,74,2.91,90,3.54,420,14.82,No,No,,,429,Released 2022
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 15mm F1.7 Air,15,15,f/1.7,58,23,65,2.56,56.4,2.22,180,6.35,No,No,,,249,Released 2025
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 23mm F1.4,23,23,f/1.4,52,30,65,2.56,72,2.83,260,9.17,No,No,,,329,Released 2019
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 25mm F1.7 Air,25,25,f/1.7,52,30,64,2.52,56.4,2.22,170,6.00,No,No,,,249,Released 2025
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 27mm F1.2 Pro,27,27,f/1.2,67,28,82,3.23,92,3.62,565,19.93,No,No,,,545,Released 2024
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 33mm F1.4,33,33,f/1.4,52,40,65,2.56,72,2.83,270,9.52,No,No,,,329,Released 2019
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 35mm F1.7 Air,35,35,f/1.7,52,33,64,2.52,56.4,2.22,170,6.00,No,No,,,249,Released 2024
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 56mm F1.2 Pro,56,56,f/1.2,67,50,78.4,3.09,91.7,3.61,570,20.11,No,No,,,545,Released 2025
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 56mm F1.4,56,56,f/1.4,52,60,65,2.56,72,2.83,290,10.23,No,No,,,329,Released 2019
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 56mm F1.7 Air,56,56,f/1.7,52,55,65,2.56,54.3,2.14,170,6.00,No,No,,,229,Released 2024
Third-Party,Viltrox,APS-C,Prime,E,Viltrox AF 75mm F1.2 Pro,75,75,f/1.2,77,88,87,3.43,101,3.98,675,23.81,No,No,,,549,Released 2023
Third-Party,Yongnuo,APS-C,Prime,E,Yongnuo YN11mm F1.8S DA DSM WL,11,11,f/1.8,58,15,66,2.60,69,2.72,260,9.17,No,No,,,319,Released 2024
Third-Party,Yongnuo,APS-C,Prime,E,Yongnuo YN16mm F1.8S DA DSM,16,16,f/1.8,58,17,64,2.52,69,2.72,274,9.67,No,No,,,298,Released 2022
Third-Party,Yongnuo,APS-C,Prime,E,Yongnuo YN50mm F1.8S DA DSM,50,50,f/1.8,49,45,64,2.52,58,2.28,146,5.15,No,No,,,129,Released 2020
Third-Party,Zeiss,APS-C,Prime,E,Zeiss Touit 2.8/12,12,12,f/2.8,67,18,88,3.46,68,2.68,260,9.17,No,No,,,999,Released 2013
Third-Party,Zeiss,APS-C,Prime,E,Zeiss Touit 1.8/32,32,32,f/1.8,52,30,75,2.95,60,2.36,200,7.05,No,No,,,719,Released 2013
Third-Party,Zeiss,APS-C,Prime,E,Zeiss Touit 2.8/50M,50,50,f/2.8,52,15,75,2.95,91,3.58,290,10.23,No,No,,,999,Released 2014; Macro lens
Third-Party,Sigma,APS-C,Zoom,E,Sigma 10-18mm F2.8 DC DN | Contemporary,10,18,f/2.8,67,11.6,72.2,2.84,64,2.52,255,8.99,No,No,,,599,Released 2023
Third-Party,Sigma,APS-C,Zoom,E,Sigma 17-40mm F1.8 DC | Art,17,40,f/1.8,67,28,72.9,2.87,117.9,4.64,525,18.52,No,No,,,1099,Released 2025
Third-Party,Sigma,APS-C,Zoom,E,Sigma 18-50mm F2.8 DC DN | Contemporary,18,50,f/2.8,55,12.1,61.6,2.43,76.5,3.01,290,10.23,No,No,,,549,Released 2021
Third-Party,Sigma,APS-C,Zoom,E,Sigma 16-300mm F3.5-6.7 DC OS | Contemporary,16,300,f/3.5,67,17,73.8,2.91,123.4,4.86,615,21.69,Yes,No,,,899,Released 2025
Third-Party,Tamron,APS-C,Zoom,E,Tamron 11-20mm F/2.8 Di III-A RXD,11,20,f/2.8,67,15,73,2.87,86.2,3.39,335,11.82,No,No,,,829,Released 2021
Third-Party,Tamron,APS-C,Zoom,E,Tamron 17-70mm F/2.8 Di III-A VC RXD,17,70,f/2.8,67,19,74.6,2.94,119.3,4.70,525,18.52,Yes,No,,,799,Released 2020
Third-Party,Tamron,APS-C,Zoom,E,Tamron 18-200mm F/3.5-6.3 Di III VC,18,200,f/3.5,62,50,68,2.68,96.7,3.81,460,16.23,Yes,No,,,199,Released 2011
Third-Party,Tamron,APS-C,Zoom,E,Tamron 18-300mm F/3.5-6.3 Di III-A VC VXD,18,300,f/3.5,67,15,75.5,2.97,125.6,4.94,620,21.87,Yes,No,,,699,Released 2021
Third-Party,Tokina,APS-C,Zoom,E,Tokina atx-m 11-18mm F2.8 E,11,18,f/2.8,67,19,74.4,2.93,74.1,2.92,335,11.82,No,No,,,599,Released 2022
Third-Party,7Artisans,Full-Frame,Prime,E,7Artisans AF 50mm F1.8,50,50,f/1.8,62,50,72,2.83,104,4.09,421,14.85,No,No,,,199,Released 2023
Third-Party,AstrHori,Full-Frame,Prime,E,AstrHori 85mm F1.8 AF,85,85,f/1.8,72,79,80,3.15,93.5,3.68,626,22.08,No,No,,,349,Released 2022
Third-Party,Laowa,Full-Frame,Prime,E,Laowa 10mm f/2.8 Zero-D FF,10,10,f/2.8,77,12,82,3.23,72.8,2.87,420,14.82,No,No,,,699,Released 2024
Third-Party,Laowa,Full-Frame,Prime,E,Laowa 12mm f/2.8 Lite Zero-D FF,12,12,f/2.8,72,14,77,3.03,76.5,3.01,377,13.30,No,No,,,549,Released 2025
Third-Party,Laowa,Full-Frame,Prime,E,Laowa 180mm f/4.5 1.5X Ultra Macro APO,180,180,f/4.5,62,30,67.6,2.66,134.4,5.29,522,18.41,No,No,,,599,Released 2025; Macro lens
Third-Party,Laowa,Full-Frame,Prime,E,Laowa 200mm f/2 AF FF,200,200,f/2,105,150,118,4.65,174.8,6.88,1588,56.01,No,No,,,2999,Released 2025
Third-Party,Meike,Full-Frame,Prime,E,Meike 85mm F1.4 AF,85,85,f/1.4,77,98,87,3.43,114,4.49,735,25.93,No,No,,,549,Released 2023
Third-Party,Meike,Full-Frame,Prime,E,Meike 85mm f1.8 Pro FF AF STM,85,85,f/1.8,62,85,76,2.99,95,3.74,389,13.72,No,No,,,199,Released 2024
Third-Party,Meike,Full-Frame,Prime,E,Meike 85mm F1.8 SE Mark II,85,85,f/1.8,62,65,76,2.99,100.2,3.94,369,13.02,No,No,,,179,Released 2025
Third-Party,Meike,Full-Frame,Prime,E,Meike 85mm F1.8 FF STM,85,85,f/1.8,67,90,79.5,3.13,,,386,13.62,No,No,,,169,Released 2022
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 14mm F2.8 FE,14,14,f/2.8,N/A,20,86,3.39,97.5,3.84,500,17.64,No,No,,,699,Released 2016
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 16mm F2.8 P FE,16,16,f/2.8,62,12,69.8,2.75,70.5,2.78,207,7.30,No,No,,,399,Released 2025
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 18mm F2.8 FE,18,18,f/2.8,58,25,63.5,2.50,60.5,2.38,145,5.11,No,No,,,499,Released 2019
Third-Party,Samyang/Rokinon,Full-Frame,Prime,E,Samyang AF 24mm F1.8 FE,24,24,f/1.8,58,19,65,2.56,71.5,2.81,230,8.11,No,No,,,599,Released 2021
