Edition,Serial Number,Revision,Color,Features,
Halo 2 Special Edition (CAN),"2NNNNNN 31405
4NNNNNN 41305*","1.2^?, 1.3^?, 1.4",Ice blue,"Released as a Halo 2 bundle (no headset) in Canada, silver jewel.",
Halo 2 Special Edition (PAL),"2NNNNNN 51805
2NNNNNN 50805","1.0^?, 1.1^?, 1.4^?",Ice blue,"Released as Halo 2 bundle in Asia, black jewel.",
Hulk/Pepsi (PAL),"2NNNNNN 20503
4NNNNNN 21403
3NNNNNN 21503
2NNNNNN 24405
4NNNNNN 24505","1.0, 1.1",Neon green,"Given as a scratchcard prize in UK theaters to commemorate the release of the Hulk movie and possibly more given away in a contest ^3 . Has the Hulk's eye and Pepsi logo in the jewel. Estimated 36 given away, up to 50 made. ^[2]",
Mountain Dew,2NNNNNN 31205,1.3,Neon green,Sold through a Mountain Dew sweepstakes ^3 . Mountain Dew logo on jewel. 1000 ^[2] to 5099 ^? made.,
MSN Edition - White (PAL),4082725 40605,1.4^?,Translucent,"""MSN"" and butterfly logo on front right. Likely made as a mock up for a potential MSN ISP promotion ^[2]. One known to exist, found in Denmark.",
MSN Edition - Colorful (PAL),"4082833 40605
4082752 40605",1.4^?,Translucent,"Colorful ""MSN"" and butterfly logo on front right. Likely made as a mock up for a potential MSN ISP promotion ^[2]. Two known to exist, found in Denmark.",
Panzer Dragoon Orta,"2NNNNNN 20502
3NNNNNN 20502
4NNNNNN 20502",1,White,"Screenprinted artwork and logo surrounding jewel. 999 originally planned to be sold ^3 . 3,000 made, 1,300 shipped ^[2] .",
Partner Edition,"1137135 25005
2NNNNNN 31905",1,Translucent green,"Given to hardware companies involved with Xbox. Has ""Thanks for Partnering with Xbox"" and Bill Gates' signature on the jewel. Estimated 100 ^[2] or 1000 ^? made.",
Pure White (JP),"5NNNNNN 15202
3NNNNNN 20202
3NNNNNN 20502
5NNNNNN 20602
5NNNNNN 20702",1,White,"Released in Japan for the 2004 anniversary with a silver jewel saying ""Limited Edition 2004"". The unit number out of 1000 is engraved in the bottom left of the top side as well as an optional engraved name of up to 20 letters. 1000 made. They have a 2004 manufacture date, but are actually 1.0 Xboxes.",
Dark Crystal (JP),"3NNNNNN 20502
2NNNNNN 20402",1,"Translucent black ""smoke""","Internally referred to as ""dark crystal"", also called ""smoke"" or ""skeleton"". Release version in Japan that came with serialized key chain with a number from 1 to 50,000. 50,000 produced, estimated 10,000 sold on launch week. [1]",
Translucent Blue (CAN),?,?,Translucent Blue,"50 given away in The Chronicles of Riddick DVD sweepstakes ^3 , given away by a traveling Holiday Game Squad ^3 , or with purchase of 12-month Bell Canada's 'Sympatico High-Speed' contract ^3 . Came in box with Halo 2 and a headset, unlike the Canadian Halo 2 edition.",
Translucent Green (NTSC),"1NNNNNN 40705
1NNNNNN 40905","1.0?, 1.2, 1.4",Translucent green,Sold in Canada.,
Translucent Green (PAL),"2NNNNNN 30805
2NNNNNN 30905
1NNNNNN 40705","1.2, 1.4^?",Translucent green,"Released for one year anniversary for the European release of the console. 20,000 manufactured. 5,000 sold.",
Translucent Orange Prototype,1NNNNNN 21503,1,Translucent orange,"Color mock up consoles. Two known to still exist, gifted to an internal marketing employee and a friend which was later stolen from their house. ^[2]",
Translucent Orange Halo Prototype,N/A,1,Translucent orange,"Color test prototypes. ""Halo"" written on front, one has a silver jewel, possibly added later on, and one has a black jewel. Three known to exist. ^2 ^3",
Other Color Samples,N/A,N/A,N/A,"Opaque candy apple / fire engine red (sample on table), glow in the dark, burgundy/dark magenta crystal, metallic gold, and a unit filled with color shifting beads. All likely destroyed. ^[2]",(no pictures of full units exist)
50 Cent Pure White Edition,4174113 50505,?,White,"Given away by Australian television channel Channel V. Has ""50 Cent Bulletproof"" written in gold on top near the middle, and 50 Cent's signature. One made.",
50 Cent Pure White Edition 2,?,?,White,"One given away in Australia, and one in New Zealand. Has ""50 Cent Bulletproof"" written in gold on top in the bottom left, black swirl designs on it, and 50 Cent's signature. Four made by Advanced Airbrush, all slightly different.[2]",
50 Cent Pure White Edition 3,?,?,White,"Larger ""50 Cent Bulletproof"" written in gold on the top in the bottom left, 50 Cent's face airbrushed in the top right, and 50 Cent's signature. One made.",
Atari Edition,?,?,Orange,"A black Xbox painted orange with an Atari logo on the jewel, and ""Atari"" written on top. Given away at the Leipzig Game Convention in 2004. Five made.",
Conker Edition,?,?,Black,"Has an image of Conker on top, with camouflage prints, bullet holes, and ""Conker"" written on it. Three made for a Conker's tournament in Sydney, Australia.",
Dead or Alive Xtreme Beach Volleyball,1039744 21503,1,Black,Has a full volleyball beach scene airbrushed on top. 20 sold in Germany.,
Halo Airbrushed Edition,2NNNNNN 21403,1,Black,Had an image of Master Chief with the sky and Halo ring in the background to celebrate Halo's launch in the UK. Given out in one case by Microsoft employees at training event competitions. 5-10 made.,
Halo 2 Airbrushed Edition,4073214 41605,1.6^?,Black/Orange,"Commissioned by Microsoft to have an airbrushed top shell, these could be won from Media Markt for the Halo 2 launch. Painted by Peter Tronser. 100 made. ^3",
Hello Kitty Crystal (PAL),"2NNNNNN 42805
2063163 42805
2063406 42805",1.6^?,Translucent,Sold in a unique box with an undefined Samsung TV from Best Denki in Singapore. Has pink Hello Kitty Mission Rescue artwork painted on top. Came with a crystal controller with a unique gold and silver sparkle in the jewel. 550 made. ^3,
Playboy Edition,?,?,Translucent,"Has sticker artwork on top of Penelope Juarez and a written letter, as well as artwork on the front. One unit made and given away in Australia in an unknown contest. ^3",
Tony Hawk's Underground 2 Edition,"4NNNNNN 43405
5102303 43505",1.6^?,Orange,Painting sanctioned by game publisher. Given away to winners of skateboarding competitions. Graffiti-style art on top on of crystal edition Xbox. Possible matching skateboard deck. 10 made.,
a I Development Kit,N/A,Intel VC820,Silver,Used for developing Xbox games. Large aluminum desktop tower.,
Alpha II Development Kit,N/A,Intel VC820,Silver,Used for developing Xbox games. Large aluminum desktop tower.,
Debug Kit,"3NNNNNN 13202
6NNNNNN 20602
6NNNNNN 30202
6NNNNNN 32805
6NNNNNN 35005
5NNNNNN 41505
6NNNNNN 43905","1.0, 1.3^?",Translucent Green,"""Debug Kit"" written on bottom stickers. Often times ""Debug Kit"" written on front, though not always the case. Also may or may not have ""Dolby Digital"" and ""Compact Disc"" logos etched above the fourth controller port.",
Debug Kit,?,?,Black,Used by game developers to hide the fact that games are running on a debug kit at trade shows.,Identical to retail.
Development Kit Beta,N/A,DVT3,Translucent,"Used for developing Xbox games. ""Development Kit"" written in green on front, and early to mid-production units have a green jewel with metallic lettering and later ones had a dark green jewel with standard lettering. USB port exposed on the back. On the bottom, it is referred to as a ""BETA"" and prototype system.",
Development Kit,"6NNNNNN 22002
6NNNNNN 31625",DVT4,Translucent,"Used for developing Xbox games. ""Development Kit"" written in green on front. USB port exists but is blocked by the casing on the back. On the bottom, it is referred to as a ""FINAL"" and prototype system.",
Development Kit,N/A,?,Black,"Used for developing Xbox games. ""Development Kit"" written in green on the front. Two known to exist, but an advertisement seems to show a third one. One was shown in a NVIDIA Twitter post.[3]",
GDC 2000 Keynote Prototype,?,?,Chrome Aluminum,"A giant X-shaped unit with developer hardware inside for the Xbox reveal at GDC 2000 by Bill Gates and various other showings. Two functional units made, with extra spare parts.",
Microsoft TechNet Edition,?,1.1,Black,"Microsoft TechNet logo on top of console, boots to XDK dashboard. PAL only. One known to exist. ^3",
Retail Prototype,?,DVT1,Black,Used internally at Microsoft to test new system configurations. 3,
Retail Prototype,?,DVT2,Black,"Looks identical to a retail console with stickers. Sticker with ""QT DVT2"". Appears to be for testing the speed of some function.",
Retail Prototype,?,DVT2,Black,Looks identical to a retail console with stickers. Sticker on the front labelled (XB DVT2) with a config and test ID and appears to have a unique 4604.1 BETA live kernel used internally at Microsoft to test Xbox Live. ^3,
Retail Prototype,0NNNNNN 12902,DVT4,Black,Pre-release Xbox. Some are known to have CPUs clocked at 750MHz rather than 733MHz.,
Retail Prototype,6NNNNNN 13102,DVT5,Black,"Pre-release Xbox. Has a ribbon cable running from the LPC header, through the vent grille, and out the back. Likely used to flash and test new kernels.",
Retail Prototype,4125522 32505,DVT6?,Black,"""Prototype"" and ""LIVE ENABLED"" written on bottom stickers, otherwise identical to retail unit. Only one known, claimed to be a DVT6 and internally called ""Xbox console Xmode3 w/genealogy"" by owner. ^3",
Retail Prototype,1NNNNNN 13602,DVT7,Black,"Made a month before release, a final build prototype.",
Xbox Live Beta Kit,6NNNNNN 22902,?,Black,"""Debug Kit"" written on bottom stickers. ""Debug Kit"" written on front, covered by a BETA sticker, and ""LIVE ENABLED"" stickers on bottom. Also comes with a Xbox Live beta tester kit including an orange memory card.",
Xbox Live Beta Kit,?,?,Translucent Green,"""Debug Kit"" written on bottom stickers. ""Debug Kit"" written on front, covered by a BETA sticker. Also comes with a Xbox Live beta tester kit including an orange memory card.",
